aX,aY,aZ,gX,gY,gZ
-0.963,0.968,4.000,189.087,-410.400,-7.874

-0.799,-0.687,4.000,103.943,-187.683,-123.230
-0.753,-1.030,3.884,46.753,-124.573,-119.324
-0.612,-1.211,4.000,-15.686,-101.685,-104.248
-0.458,-1.459,4.000,-70.129,-76.416,-91.797
-0.348,-1.625,4.000,-96.985,-20.630,-71.533
-0.254,-1.513,4.000,-96.313,46.448,-37.048
-0.235,-1.249,3.949,-80.139,98.572,-2.808
-0.248,-0.935,3.703,-59.082,129.150,22.522
-0.312,-0.515,3.660,-35.400,153.809,41.870
-0.420,0.013,3.634,-11.658,189.209,53.040
-0.568,0.429,3.565,2.380,233.215,47.791
-0.713,0.514,3.338,6.958,282.959,23.315
-0.800,0.306,2.948,2.258,334.656,-6.897
-0.849,-0.052,2.481,-15.198,379.028,-31.616
-0.867,-0.438,2.009,-35.645,412.598,-45.349
-0.858,-0.655,1.520,-54.810,435.303,-42.236
-0.812,-0.734,1.099,-73.425,448.303,-27.100
-0.798,-0.718,0.766,-89.905,453.918,-7.935
-0.807,-0.617,0.458,-102.295,458.923,12.329
-0.788,-0.480,0.182,-109.558,459.595,29.602
-0.786,-0.302,-0.056,-112.610,453.430,41.748
-0.784,-0.155,-0.272,-115.601,445.435,44.556
-0.743,0.060,-0.484,-111.389,433.350,41.626
-0.676,0.264,-0.738,-99.976,423.950,32.532
-0.599,0.262,-1.053,-98.206,407.654,9.094
-0.496,0.140,-1.291,-94.849,378.784,-17.029
-0.371,-0.023,-1.446,-86.853,345.215,-37.598
-0.205,-0.088,-1.499,-65.369,307.922,-49.133
-0.122,-0.166,-1.641,-37.659,279.053,-58.594
-0.078,-0.303,-1.932,-9.583,260.742,-69.641
0.006,-0.436,-2.239,15.259,239.990,-76.294
0.077,-0.654,-2.556,30.579,213.379,-80.627
0.108,-0.899,-2.823,31.616,178.894,-79.407
0.233,-1.085,-2.880,19.104,132.996,-63.965
0.296,-1.315,-2.904,4.822,84.778,-47.791
0.329,-1.214,-2.822,-8.118,36.011,-17.273
0.340,-0.963,-2.609,-17.395,-12.146,13.245
0.328,-0.759,-2.379,-16.479,-54.077,31.128
