aX,aY,aZ,gX,gY,gZ
-0.459,1.275,1.041,15.503,35.400,-111.572
-0.443,1.085,1.034,22.156,35.645,-123.169
-0.422,0.941,0.948,24.902,40.100,-130.737
-0.414,0.785,0.770,22.705,45.471,-139.771
-0.406,0.623,0.667,18.921,44.006,-150.513
-0.409,0.454,0.670,16.174,37.170,-161.377
-0.418,0.193,0.646,13.489,31.921,-173.401
-0.403,-0.082,0.618,16.602,29.053,-182.739
-0.395,-0.259,0.477,22.644,23.193,-186.401
-0.445,-0.760,1.042,24.048,0.000,-196.106
-0.329,-0.974,0.905,25.146,8.972,-187.256
-0.326,-1.026,0.547,32.654,31.189,-162.048
-0.247,-1.334,0.673,38.574,13.062,-154.602
-0.155,-1.399,0.898,42.847,-0.366,-136.475
-0.082,-1.347,0.783,43.030,8.423,-114.563
-0.030,-1.448,0.663,38.147,13.794,-108.093
0.007,-1.575,0.701,22.888,7.996,-104.553
0.004,-1.786,0.781,0.793,3.052,-99.854
0.035,-1.969,0.792,-17.212,2.747,-93.018
0.047,-2.105,0.781,-31.921,3.662,-82.581
0.068,-2.262,0.845,-42.236,0.671,-70.801
0.087,-2.395,0.862,-46.509,0.183,-52.856
0.096,-2.515,0.805,-44.006,1.831,-29.114
0.097,-2.509,0.820,-35.034,0.061,1.282
0.073,-2.417,0.818,-22.766,-1.831,34.668
0.009,-2.267,0.751,-13.000,-1.587,67.688
-0.073,-2.015,0.684,-6.409,-2.319,100.464
-0.148,-1.729,0.725,-5.554,-6.470,126.587
-0.228,-1.486,0.765,-9.338,-8.484,145.020
-0.289,-1.138,0.784,-15.320,-6.409,161.072
-0.351,-0.837,0.809,-21.240,-3.235,169.189
-0.389,-0.654,0.789,-24.414,1.343,168.640
-0.377,-0.538,0.704,-24.414,6.897,166.199
-0.386,-0.468,0.542,-26.245,10.559,165.771
-0.444,-0.422,0.476,-33.386,6.775,167.969
-0.504,-0.202,0.545,-37.231,-4.456,177.734
-0.598,0.214,0.702,-34.668,-17.578,194.153
-0.621,0.748,0.898,-25.818,-28.076,207.947
-0.648,1.220,1.014,-11.719,-32.593,209.106
-0.709,1.671,1.259,0.854,-37.476,198.181
-0.679,2.202,1.507,17.090,-41.199,184.570
-0.613,2.394,1.599,28.503,-32.715,152.100
-0.530,2.245,1.626,25.208,-20.813,108.093
-0.445,1.984,1.533,14.221,-7.690,72.205
-0.415,1.850,1.404,-4.028,3.296,49.683
-0.395,1.970,1.421,-20.996,5.493,38.086
-0.370,2.186,1.453,-35.828,6.775,26.062
-0.341,2.347,1.344,-45.837,11.169,6.470
-0.297,2.305,1.354,-52.917,10.315,-21.240
-0.292,2.224,1.337,-52.795,11.047,-48.706
-0.281,2.025,1.370,-39.490,15.320,-73.730
-0.267,1.685,1.209,-19.531,25.574,-96.741
-0.274,1.382,0.947,3.357,36.621,-110.596
-0.283,1.190,0.748,25.391,37.842,-116.272
-0.290,1.053,0.620,42.236,33.752,-118.347
-0.285,0.938,0.586,55.481,26.245,-121.704
-0.306,0.808,0.572,67.749,19.958,-127.319
-0.307,0.624,0.545,76.965,15.930,-134.277
-0.323,0.380,0.513,78.613,12.268,-142.883
-0.321,0.154,0.506,75.745,7.202,-148.743
-0.295,-0.074,0.560,67.200,1.160,-152.893
-0.298,-0.361,0.661,50.476,-3.052,-158.569
-0.296,-0.643,0.711,31.677,-3.235,-162.231
-0.299,-0.846,0.652,15.747,-0.305,-160.034
-0.240,-0.950,0.604,2.808,0.488,-153.931
-0.261,-0.936,0.134,-1.404,-1.953,-149.414
-0.130,-1.549,1.059,-9.033,-32.227,-151.428
-0.161,-1.233,0.572,-2.197,-8.362,-120.667
-0.166,-1.545,0.562,8.118,-7.629,-111.389
-0.143,-1.831,0.946,21.851,-35.645,-105.042
-0.137,-1.845,1.067,33.447,-33.386,-80.444
-0.150,-1.909,0.934,40.466,-22.034,-61.646
-0.102,-2.073,1.158,39.551,-25.452,-52.429
-0.099,-2.218,1.188,31.433,-18.860,-42.114
-0.080,-2.386,1.193,20.142,-10.132,-29.968
-0.059,-2.528,1.265,5.188,-5.554,-13.184
-0.032,-2.559,1.224,-10.376,0.793,8.179
-0.046,-2.489,1.112,-28.687,8.728,32.288
-0.058,-2.277,1.033,-43.762,12.756,59.998
-0.090,-1.999,0.882,-51.758,16.846,86.060
-0.153,-1.839,0.640,-54.932,21.912,106.445
-0.225,-1.630,0.568,-51.758,15.991,126.099
-0.289,-1.445,0.575,-41.199,8.057,145.569
-0.359,-1.241,0.607,-27.100,2.625,165.161

-0.613,1.404,1.083,-28.931,-18.311,172.424
-0.597,1.865,1.260,-38.086,-25.513,161.011
-0.584,2.209,1.486,-45.288,-27.222,136.353
-0.549,2.354,1.641,-51.331,-22.217,105.530
-0.507,2.371,1.590,-53.345,-7.751,73.792
-0.454,2.380,1.504,-53.955,3.052,47.974
-0.426,2.412,1.486,-51.575,8.362,25.452
-0.364,2.317,1.470,-45.166,12.756,1.831
-0.321,2.190,1.461,-34.424,14.709,-19.714
-0.280,2.145,1.202,-22.339,26.428,-34.851
-0.249,1.946,1.056,-11.719,28.442,-52.734
-0.249,1.839,1.084,-1.892,22.400,-70.984
-0.239,1.635,1.046,10.315,23.560,-91.309
-0.274,1.394,0.878,20.142,33.020,-111.328
-0.294,1.149,0.756,27.832,36.133,-124.817
-0.300,1.012,0.721,34.424,32.471,-132.385
-0.316,0.904,0.711,39.063,29.053,-138.428
-0.376,0.658,0.624,40.649,29.053,-149.475
-0.359,0.401,0.514,40.833,26.917,-158.569
-0.370,0.286,0.476,39.124,17.883,-161.926
-0.390,0.164,0.569,32.837,5.188,-167.358
-0.396,-0.088,0.714,20.142,-5.066,-178.589
-0.393,-0.408,0.844,3.479,-9.460,-189.331
-0.331,-0.687,0.994,-10.803,-11.169,-193.542
-0.298,-0.953,1.110,-24.109,-6.409,-192.383
-0.259,-1.168,0.904,-32.410,4.822,-189.087
-0.315,-1.632,1.183,-31.738,-0.916,-185.974
-0.187,-1.569,1.058,-32.654,7.568,-159.058
-0.193,-1.497,0.425,-5.615,44.373,-129.395
-0.191,-2.117,0.692,13.062,11.292,-136.047
-0.135,-2.256,0.998,24.597,-9.949,-108.032
-0.104,-2.210,0.635,31.494,6.592,-69.824
-0.048,-2.341,0.714,32.654,1.160,-50.537
0.032,-2.429,0.911,26.062,-13.062,-31.311
0.078,-2.384,0.836,14.221,-9.460,-4.456
0.081,-2.325,0.765,2.930,-7.690,19.470
0.070,-2.248,0.885,-7.141,-14.954,41.199
0.037,-2.059,0.830,-10.071,-14.221,63.049
-0.002,-1.932,0.798,-13.733,-12.939,80.078
-0.076,-1.687,0.795,-19.653,-13.184,101.929
-0.141,-1.555,0.755,-23.010,-11.353,117.859
